latitude,longitude,elevation,slope,rainfall_24h,rainfall_72h,rainfall_intensity,soil_moisture,satellite_indicator,historical_landslide_occurrence,latent_risk_score,risk_level,risk_category,region_state
26.07442,91.7782,50.0,44.64,54.85,132.63,8.21,69.95,70.0,88.77,58.28,1,moderate,Assam
24.8084,93.82382,886.0,39.04,16.1,32.81,0.81,37.78,14.78,59.76,22.06,0,low,Manipur
25.16948,91.79506,1388.2,45.76,130.2,282.43,22.7,82.64,64.15,98.32,84.87,3,critical,Meghalaya
25.66297,94.11458,1603.8,36.65,22.06,80.55,1.86,61.26,63.71,80.28,37.82,0,low,Nagaland
30.71436,79.17157,3759.3,59.14,222.58,542.15,46.18,90.92,88.9,87.04,100.0,3,critical,Uttarakhand
27.31201,88.5598,1682.6,52.53,2.26,35.31,0.1,34.13,36.04,88.8,39.26,0,low,Sikkim
25.47374,91.87962,2028.6,43.68,51.51,91.22,5.56,46.64,38.96,88.66,47.79,1,moderate,Meghalaya
25.05374,91.78423,1331.9,33.35,161.21,425.42,20.7,71.1,90.0,96.09,92.59,3,critical,Meghalaya
26.14036,91.78579,50.0,34.7,3.0,23.71,0.21,32.09,24.23,64.58,22.47,0,low,Assam
25.27057,91.56308,1454.1,65.7,98.16,273.0,12.31,82.73,82.31,89.12,94.13,3,critical,Meghalaya
30.80878,79.18212,3602.7,55.38,32.43,89.21,3.42,60.69,40.15,98.76,56.68,1,moderate,Uttarakhand
23.54327,93.18004,1772.2,40.34,0.42,3.28,0.03,11.61,44.56,81.0,22.21,0,low,Mizoram
25.58889,91.80868,1821.0,47.39,16.11,93.45,1.29,72.58,39.99,83.02,52.97,1,moderate,Meghalaya
25.37141,91.7531,1256.4,37.33,13.29,28.03,0.7,36.62,31.74,79.59,33.27,0,low,Meghalaya
24.75368,93.90858,850.0,39.2,67.59,140.37,4.97,54.23,58.75,72.65,46.1,1,moderate,Manipur
23.48273,93.26165,1342.0,45.53,225.24,520.92,84.11,91.02,98.0,65.97,100.0,3,critical,Mizoram
25.69532,94.10677,1239.5,46.8,37.01,115.15,3.36,63.77,43.19,85.68,54.92,1,moderate,Nagaland
30.77218,79.05444,3482.9,60.99,71.31,244.95,14.33,70.0,87.71,100.0,84.7,3,critical,Uttarakhand
25.33257,91.66673,1313.0,56.66,201.32,554.9,62.65,92.94,92.85,81.2,100.0,3,critical,Meghalaya
25.22503,91.71326,1177.5,41.55,69.23,167.06,9.35,49.45,45.26,99.72,55.51,1,moderate,Meghalaya
25.48926,91.96031,1926.0,43.62,29.76,114.23,4.27,46.57,60.1,81.04,44.41,1,moderate,Meghalaya
30.77264,78.99318,3661.8,62.19,43.76,109.32,2.77,71.34,38.25,100.0,59.43,1,moderate,Uttarakhand
24.64785,94.0252,766.3,44.33,26.31,31.11,1.43,42.62,27.99,75.06,40.13,1,moderate,Manipur
23.48092,93.43786,1696.5,48.91,18.94,89.07,1.12,30.42,28.85,65.76,40.28,1,moderate,Mizoram
30.71941,78.98843,3566.4,48.43,52.17,93.96,4.82,58.11,32.96,97.93,51.8,1,moderate,Uttarakhand
27.07816,88.3091,2066.9,57.66,32.71,113.82,3.36,46.74,52.48,75.75,51.65,1,moderate,West Bengal
26.10338,91.75709,387.5,30.5,116.04,283.94,15.12,80.02,90.0,64.98,75.39,2,high,Assam
31.12582,77.04456,2406.6,59.68,16.55,42.2,1.32,29.34,33.71,90.14,44.37,1,moderate,Himachal Pradesh
26.99516,93.57902,719.1,42.0,198.61,376.46,33.81,68.81,78.67,52.55,90.77,3,critical,Arunachal Pradesh
24.76834,93.76716,594.5,43.88,44.67,86.62,4.18,73.79,53.7,97.93,52.41,1,moderate,Manipur
31.03492,77.04505,2376.4,35.33,43.15,121.29,3.01,67.6,48.97,93.15,52.84,1,moderate,Himachal Pradesh
11.70218,76.09196,1030.7,53.98,52.29,105.07,7.34,35.0,45.63,83.17,50.44,1,moderate,Kerala
27.05703,88.29961,2029.9,40.79,155.82,361.48,23.46,90.63,78.19,77.34,94.98,3,critical,West Bengal
27.34971,88.55335,1607.7,42.92,137.24,281.53,22.58,83.49,74.48,99.05,85.18,3,critical,Sikkim
25.74506,94.15883,1322.7,55.06,55.36,147.17,3.91,57.7,60.82,84.12,58.44,1,moderate,Nagaland
25.16758,91.7998,1527.5,47.21,28.95,106.91,3.49,52.52,37.48,100.0,52.96,1,moderate,Meghalaya
24.82492,94.01873,942.8,39.69,39.33,74.47,5.64,70.62,38.52,81.41,46.38,1,moderate,Manipur
23.48821,93.26876,1600.4,42.74,202.14,496.91,44.87,90.25,98.0,66.2,100.0,3,critical,Mizoram
31.03083,77.30981,2360.4,48.18,7.08,28.05,0.58,42.97,37.14,88.92,39.95,0,low,Himachal Pradesh
23.42638,93.35423,1665.9,51.56,3.99,6.18,0.19,38.3,25.24,75.0,35.03,0,low,Mizoram
23.27286,93.33039,1712.8,61.96,37.55,92.08,2.69,51.58,50.61,75.89,61.39,2,high,Mizoram
25.52375,91.85715,2088.6,48.06,40.8,106.91,2.56,52.31,55.25,89.84,43.21,1,moderate,Meghalaya
25.29245,91.87069,1485.8,51.11,63.35,118.58,8.09,72.16,42.0,91.58,62.02,2,high,Meghalaya
27.21106,93.73342,793.6,34.09,14.04,33.88,1.02,40.71,15.6,49.55,23.23,0,low,Arunachal Pradesh
11.67111,75.86412,959.5,55.06,45.83,137.42,3.09,66.89,33.76,93.35,61.8,2,high,Kerala
24.70736,93.94489,608.6,40.12,152.83,281.35,22.0,72.44,70.16,70.48,79.18,2,high,Manipur
30.64549,78.9532,3498.7,65.08,136.72,256.58,16.74,91.74,90.0,100.0,100.0,3,critical,Uttarakhand
24.85629,94.07399,963.2,35.5,165.67,370.21,17.12,95.0,74.31,82.92,88.95,3,critical,Manipur
26.1914,91.62828,69.0,50.57,50.14,71.71,7.4,48.57,63.17,69.61,49.56,1,moderate,Assam
25.31725,91.8187,1553.1,52.06,62.54,109.56,4.22,60.77,48.33,100.0,59.22,1,moderate,Meghalaya
25.52604,91.81021,1761.2,52.46,146.92,380.37,35.14,92.5,90.56,89.44,100.0,3,critical,Meghalaya
25.50103,91.69259,1834.7,31.86,18.35,20.29,1.26,33.22,24.35,91.61,30.27,0,low,Meghalaya
25.65933,91.92799,2099.4,37.83,67.35,103.43,6.72,58.29,39.34,72.22,42.79,1,moderate,Meghalaya
27.25068,93.59404,634.7,33.7,1.47,12.73,0.1,36.64,35.26,64.79,22.69,0,low,Arunachal Pradesh
27.18049,93.62896,785.8,44.26,36.03,42.58,2.22,28.8,19.47,70.3,30.56,0,low,Arunachal Pradesh
11.75988,76.14486,1002.4,49.6,270.69,668.1,100.81,86.94,86.09,95.27,100.0,3,critical,Kerala
27.03479,93.70767,885.3,42.31,21.02,95.66,2.51,50.79,52.24,58.89,37.14,0,low,Arunachal Pradesh
25.02475,93.99253,855.3,36.8,22.75,67.76,3.36,60.58,51.82,78.92,42.19,1,moderate,Manipur
27.49453,88.57233,1748.4,58.15,8.01,9.77,0.52,36.07,21.31,87.88,35.63,0,low,Sikkim
11.75122,76.05819,912.6,51.03,7.58,28.53,0.35,19.27,20.6,89.52,31.48,0,low,Kerala
27.14477,88.17616,1845.6,35.81,34.57,104.0,3.21,51.93,58.08,88.69,41.32,1,moderate,West Bengal
25.75494,94.10862,1428.9,41.2,49.76,89.91,4.78,36.5,68.22,71.65,40.26,1,moderate,Nagaland
31.14055,77.09633,2327.7,53.6,0.66,2.83,0.05,32.63,26.04,94.15,35.18,0,low,Himachal Pradesh
11.67391,76.13706,1034.3,50.26,2.85,23.49,0.12,35.36,22.01,94.95,33.35,0,low,Kerala
25.90992,91.67172,227.4,42.54,47.38,98.07,3.29,69.37,41.19,75.14,47.02,1,moderate,Assam
27.19922,93.72361,750.8,34.18,18.87,68.89,1.23,40.63,20.1,62.13,26.16,0,low,Arunachal Pradesh
26.96534,93.56455,646.5,34.27,133.55,290.39,13.71,74.72,74.97,49.22,69.19,2,high,Arunachal Pradesh
27.09228,93.57791,616.8,33.97,115.02,284.4,14.65,77.43,72.48,58.55,65.71,2,high,Arunachal Pradesh
27.29878,88.56359,1762.2,42.17,189.13,469.37,33.19,96.96,84.25,88.21,100.0,3,critical,Sikkim
25.30117,91.55237,1250.3,55.1,115.58,369.9,27.68,87.77,76.93,94.29,100.0,3,critical,Meghalaya
27.0951,93.57382,502.1,55.34,120.39,320.36,30.08,65.14,63.38,60.49,85.9,3,critical,Arunachal Pradesh
11.74969,76.26953,1109.5,36.65,8.37,14.13,0.37,25.41,36.34,98.23,28.18,0,low,Kerala
23.43173,93.49695,1620.2,35.46,42.76,63.5,1.99,24.31,24.53,84.71,29.26,0,low,Mizoram
25.66036,94.12863,1397.0,50.69,30.08,95.93,2.59,47.07,53.03,81.18,50.57,1,moderate,Nagaland
26.96983,88.23492,1928.2,51.89,48.72,101.2,3.23,60.92,42.84,84.1,51.95,1,moderate,West Bengal
27.2145,88.57138,1865.7,52.55,49.17,96.77,3.67,62.58,69.83,91.32,55.62,1,moderate,Sikkim
25.10304,91.68323,1425.3,40.72,23.91,33.38,1.36,23.32,20.15,84.51,31.38,0,low,Meghalaya
25.15236,91.62898,1313.6,48.63,139.77,330.85,16.55,90.86,62.83,86.87,95.93,3,critical,Meghalaya
25.60384,94.10032,1521.9,48.47,33.59,110.09,5.36,66.74,48.81,82.07,49.76,1,moderate,Nagaland
25.54235,91.91133,1813.8,30.76,40.22,69.06,3.09,75.0,56.98,85.86,44.04,1,moderate,Meghalaya
27.16991,88.24688,1919.5,46.66,184.06,397.52,23.79,76.7,77.77,96.0,100.0,3,critical,West Bengal
27.05106,88.27109,1980.1,41.73,18.42,28.23,1.04,36.37,25.11,84.93,33.58,0,low,West Bengal
26.90623,88.21512,2137.3,44.95,76.1,164.14,9.63,82.12,71.48,84.63,67.24,2,high,West Bengal
25.28525,91.8053,1275.1,51.18,2.26,7.91,0.15,27.82,22.04,100.0,29.84,0,low,Meghalaya
25.61671,91.96021,1668.9,49.83,145.71,408.66,27.35,73.71,86.01,78.52,99.0,3,critical,Meghalaya
30.81541,78.96885,3707.3,57.8,165.98,441.59,47.05,94.07,93.34,91.37,100.0,3,critical,Uttarakhand
25.51609,91.84134,1878.2,33.22,176.02,419.22,41.24,70.3,74.37,100.0,96.19,3,critical,Meghalaya
24.7885,93.96756,914.4,30.19,260.7,616.81,45.66,89.44,91.57,84.22,100.0,3,critical,Manipur
24.74716,94.03692,758.9,32.62,50.24,117.13,7.55,55.16,38.01,80.28,48.58,1,moderate,Manipur
23.26596,93.27791,1443.5,45.37,176.21,521.51,46.97,88.27,93.43,73.42,100.0,3,critical,Mizoram
23.46271,93.20757,1778.4,45.27,5.87,9.22,0.27,17.17,20.84,72.48,21.62,0,low,Mizoram
25.62563,93.95197,1359.2,51.72,37.93,89.42,3.8,68.34,62.18,84.8,55.13,1,moderate,Nagaland
30.96482,77.23624,2184.8,42.44,95.97,254.39,15.8,79.5,80.8,75.68,75.89,2,high,Himachal Pradesh
25.2411,91.72487,1278.4,43.88,54.97,87.1,7.89,48.21,54.96,100.0,49.03,1,moderate,Meghalaya
25.34831,91.81568,1888.9,27.0,130.86,590.26,24.59,90.14,81.26,75.74,92.71,3,critical,Meghalaya
27.1141,88.22153,2221.1,32.87,32.98,77.5,3.05,50.36,37.66,75.08,37.15,0,low,West Bengal
26.1089,91.62905,301.0,36.09,101.0,319.25,11.77,71.83,82.93,71.11,74.06,2,high,Assam
27.42893,88.57299,1460.5,48.12,166.65,314.32,34.31,83.23,83.2,86.36,100.0,3,critical,Sikkim
25.50177,91.86643,2162.3,26.53,138.75,296.26,23.56,80.46,80.92,85.18,80.41,3,critical,Meghalaya
25.19585,91.72524,943.8,39.8,26.28,117.14,4.07,70.88,64.41,89.98,47.46,1,moderate,Meghalaya
23.47263,93.23038,1512.6,46.94,42.09,87.91,5.96,61.49,42.23,79.57,47.16,1,moderate,Mizoram
26.13678,91.73672,131.0,28.72,41.53,95.46,4.21,62.23,31.36,73.45,44.32,1,moderate,Assam
30.60942,79.17397,3634.2,46.21,45.64,101.06,3.35,56.85,61.69,100.0,51.61,1,moderate,Uttarakhand
27.25095,93.5478,842.5,38.57,69.94,119.74,9.0,48.56,46.02,69.8,48.94,1,moderate,Arunachal Pradesh
27.36635,88.52849,1704.0,50.17,98.27,294.9,10.79,78.94,64.48,91.26,77.56,2,high,Sikkim
11.86078,76.1992,1040.1,59.38,156.81,467.38,40.11,97.88,89.41,98.1,100.0,3,critical,Kerala
25.65449,94.14258,1558.4,58.5,3.03,85.05,0.22,32.77,32.76,82.16,45.77,1,moderate,Nagaland
27.08665,93.58765,918.4,25.63,40.87,86.42,5.22,43.45,44.06,69.9,32.83,0,low,Arunachal Pradesh
27.47265,88.61595,2020.8,51.75,57.99,118.08,4.13,49.06,33.05,87.28,53.73,1,moderate,Sikkim
25.57334,94.19093,1355.9,35.41,58.85,111.72,4.76,60.52,51.12,91.65,46.55,1,moderate,Nagaland
23.58524,93.34853,1688.7,43.34,3.9,11.14,0.18,33.12,19.5,70.92,31.59,0,low,Mizoram
31.01127,77.23862,2256.3,63.84,10.51,40.79,0.46,45.52,13.14,100.0,50.05,1,moderate,Himachal Pradesh
23.49613,93.34027,1583.9,35.76,110.22,299.85,12.84,81.31,78.51,66.48,78.31,2,high,Mizoram
27.1561,93.62144,973.0,42.52,1.23,29.65,0.06,25.41,13.45,59.94,18.89,0,low,Arunachal Pradesh
25.40471,91.69329,1591.8,47.69,8.97,45.49,0.62,38.84,36.81,90.62,41.77,1,moderate,Meghalaya
25.68774,94.12574,1422.6,52.78,143.65,327.87,15.81,77.54,80.02,79.9,87.37,3,critical,Nagaland
25.28587,91.72927,1352.3,49.74,18.8,103.31,1.6,52.8,42.28,95.8,46.52,1,moderate,Meghalaya
25.66809,91.94135,1937.8,27.49,1.86,17.72,0.1,31.02,19.52,84.85,24.47,0,low,Meghalaya
26.2979,91.71694,231.6,41.85,3.77,12.8,0.17,36.72,29.15,66.3,29.36,0,low,Assam
26.24276,91.80928,328.5,33.73,122.52,238.36,25.74,77.01,63.3,66.03,75.9,2,high,Assam
27.00622,93.58684,755.5,28.81,85.67,302.21,17.37,80.63,62.43,59.74,68.59,2,high,Arunachal Pradesh
26.14513,91.71822,76.6,48.69,74.56,168.37,9.32,66.83,45.68,73.41,56.97,1,moderate,Assam
24.81407,93.82032,732.7,48.17,155.6,326.63,27.43,65.79,71.13,79.9,84.73,3,critical,Manipur
24.84469,93.90207,811.6,43.22,3.71,26.22,0.25,34.78,12.2,70.58,30.18,0,low,Manipur
24.80373,93.85862,760.3,37.34,172.38,383.28,37.78,88.22,98.0,76.47,100.0,3,critical,Manipur
31.17958,77.13398,2448.2,38.07,29.72,39.02,1.67,29.22,29.01,97.78,36.15,0,low,Himachal Pradesh
27.11847,93.69414,789.9,34.97,145.29,294.94,19.36,87.68,71.49,63.53,82.84,3,critical,Arunachal Pradesh
25.55442,91.80481,1739.6,56.44,43.55,79.71,6.19,55.19,37.56,79.93,55.04,1,moderate,Meghalaya
11.61756,76.02525,1047.5,45.56,133.78,277.02,13.56,65.0,80.12,100.0,81.51,3,critical,Kerala
26.04993,91.85859,50.0,19.65,170.95,311.97,25.36,95.0,76.96,70.08,90.08,3,critical,Assam
11.6839,76.13452,832.9,54.76,28.18,56.79,2.15,27.3,15.95,92.1,43.47,1,moderate,Kerala
11.85552,76.08442,939.3,43.52,278.32,571.77,101.75,99.0,83.65,86.36,100.0,3,critical,Kerala
27.04443,93.71664,779.7,35.2,152.69,363.45,27.16,65.0,78.41,68.36,86.66,3,critical,Arunachal Pradesh
27.07582,88.23847,1926.0,44.23,46.92,120.94,4.6,57.49,43.05,83.18,55.98,1,moderate,West Bengal
26.1103,91.65452,141.7,41.99,40.64,60.97,3.3,61.86,42.93,66.9,44.14,1,moderate,Assam
27.10841,93.67274,848.9,43.57,105.58,255.05,13.43,73.63,78.91,51.94,75.67,2,high,Arunachal Pradesh
27.00434,93.54465,423.2,33.04,164.74,431.39,16.85,85.68,68.89,63.89,81.76,3,critical,Arunachal Pradesh
25.12431,91.68219,1485.5,52.67,24.33,39.37,1.18,29.43,31.98,91.2,36.82,0,low,Meghalaya
25.29487,91.84803,1558.6,46.72,6.32,7.19,0.47,19.97,27.58,91.85,27.73,0,low,Meghalaya
27.17108,88.67661,1411.2,55.62,3.88,32.54,0.23,25.33,19.29,75.29,36.49,0,low,Sikkim
23.53441,93.28972,1842.0,46.46,4.91,17.49,0.21,10.0,16.42,72.57,26.78,0,low,Mizoram
25.52617,91.83514,2027.3,35.99,16.51,19.42,0.86,31.09,32.42,75.78,22.25,0,low,Meghalaya
27.21396,93.71049,690.8,45.81,0.17,22.79,0.01,21.57,41.66,58.86,28.45,0,low,Arunachal Pradesh
31.17779,76.94038,2291.0,53.09,3.71,31.02,0.18,19.16,11.85,92.44,34.02,0,low,Himachal Pradesh
26.06009,91.63063,359.0,26.7,30.34,76.44,1.94,43.14,40.62,69.78,29.68,0,low,Assam
25.35978,91.89688,1920.1,49.76,35.71,118.53,4.01,40.85,43.02,76.21,46.9,1,moderate,Meghalaya
25.77118,93.97344,1331.6,43.98,28.94,112.58,4.6,50.16,59.06,95.89,46.58,1,moderate,Nagaland
26.1622,91.75637,50.0,38.16,99.0,295.92,23.62,92.0,88.74,67.86,83.62,3,critical,Assam
25.44406,91.90582,2042.7,33.24,8.68,24.94,0.42,26.64,22.09,83.88,24.16,0,low,Meghalaya
11.76438,76.26163,771.2,49.62,113.78,300.84,14.58,89.94,90.0,100.0,95.73,3,critical,Kerala
25.73276,93.97178,1652.4,38.51,11.64,28.38,0.5,30.24,13.34,84.69,24.86,0,low,Nagaland
31.15552,77.207,2409.4,42.64,26.11,121.24,1.88,72.68,41.24,84.87,46.79,1,moderate,Himachal Pradesh
